Id,date,boil_current_level
757,1423402279.74877,1181.0
758,1423402280.25351,1178.0
759,1423402281.4637,1179.0
760,1423402281.59902,1179.0
761,1423402281.76765,1180.0
762,1423402282.27273,1178.0
763,1423402282.78747,1178.0
764,1423402283.28113,1179.0
765,1423402283.78794,1181.0
766,1423402284.30173,1178.0
767,1423402284.79915,1179.0
768,1423402285.30175,1179.0
769,1423402285.80903,1181.0
770,1423402286.3105,1178.0
771,1423402286.82769,1178.0
772,1423402287.3202,1179.0
773,1423402287.84498,1180.0
774,1423402288.37145,1178.0
775,1423402288.8394,1179.0
776,1423402289.76934,1178.0
777,1423402289.93934,1180.0
778,1423402290.34976,1178.0
779,1423402290.85759,1179.0
780,1423402291.40046,1179.0
781,1423402291.86686,1182.0
782,1423402292.42249,1178.0
783,1423402292.88762,1178.0
784,1423402293.38513,1178.0
785,1423402293.88477,1180.0
786,1423402294.38985,1178.0
787,1423402294.89517,1178.0
788,1423402295.39886,1178.0
789,1423402295.90346,1180.0
790,1423402296.41294,1178.0
791,1423402297.04272,1178.0
792,1423402298.05104,1178.0
793,1423402298.20648,1180.0
794,1423402298.429,1178.0
795,1423402298.93763,1178.0
796,1423402299.43957,1178.0
797,1423402299.95143,1180.0
798,1423402300.44948,1181.0
799,1423402300.95415,1183.0
800,1423402301.45808,1181.0
801,1423402301.972,1180.0
802,1423402302.50779,1178.0
803,1423402302.97389,1179.0
804,1423402303.48536,1181.0
805,1423402303.99341,1180.0
806,1423402304.48782,1178.0
807,1423402304.99141,1179.0
808,1423402305.49841,1181.0
809,1423402306.88797,1181.0
810,1423402307.02305,1178.0
811,1423402307.16032,1178.0
812,1423402307.5181,1180.0
813,1423402308.02366,1181.0
814,1423402308.52753,1178.0
815,1423402309.03586,1179.0
816,1423402309.54291,1182.0
817,1423402310.06738,1181.0
818,1423402310.54664,1179.0
819,1423402311.13628,1178.0
820,1423402311.5566,1180.0
821,1423402312.06245,1180.0
822,1423402312.57552,1178.0
823,1423402313.07304,1178.0
824,1423402313.58175,1180.0
825,1423402314.09473,1180.0
826,1423402314.58516,1178.0
827,1423402315.11251,1178.0
828,1423402315.63071,1180.0
829,1423402316.10475,1181.0
830,1423402316.63923,1178.0
831,1423402317.1227,1178.0
832,1423402317.67555,1181.0
833,1423402318.83946,1182.0
834,1423402318.97703,1178.0
835,1423402319.16277,1178.0
836,1423402319.63497,1181.0
837,1423402320.37787,1181.0
838,1423402320.64765,1178.0
839,1423402321.15327,1179.0
840,1423402321.65699,1180.0
841,1423402322.16231,1180.0
842,1423402322.66382,1178.0
843,1423402323.19045,1178.0
844,1423402323.71023,1181.0
845,1423402324.21864,1181.0
846,1423402324.73716,1178.0
